Local time,Open,High,Low,Close,Volume
21.01.2020 23:00:00.000 GMT+0100,1.10816,1.10984,1.10700,1.10920,135326.46899999998
22.01.2020 23:00:00.000 GMT+0100,1.10920,1.11087,1.10362,1.10542,170843.23249999995
23.01.2020 23:00:00.000 GMT+0100,1.10542,1.10617,1.10195,1.10224,126007.95249999998
26.01.2020 23:00:00.000 GMT+0100,1.10318,1.10375,1.10096,1.10184,133966.08280000003
27.01.2020 23:00:00.000 GMT+0100,1.10185,1.10252,1.09978,1.10220,122430.63050000001
28.01.2020 23:00:00.000 GMT+0100,1.10219,1.10276,1.09923,1.10098,121048.56880000001
29.01.2020 23:00:00.000 GMT+0100,1.10097,1.10393,1.10069,1.10312,145870.8827
30.01.2020 23:00:00.000 GMT+0100,1.10312,1.10954,1.10168,1.10944,144516.34970000002
02.02.2020 23:00:00.000 GMT+0100,1.10939,1.10939,1.10356,1.10593,135229.0782
03.02.2020 23:00:00.000 GMT+0100,1.10590,1.10641,1.10328,1.10434,113720.0851
04.02.2020 23:00:00.000 GMT+0100,1.10436,1.10479,1.09937,1.09989,123497.91979999999
05.02.2020 23:00:00.000 GMT+0100,1.09989,1.10138,1.09644,1.09827,101074.2299
06.02.2020 23:00:00.000 GMT+0100,1.09827,1.09849,1.09419,1.09438,133507.47530000002
09.02.2020 23:00:00.000 GMT+0100,1.09439,1.09574,1.09076,1.09105,104173.42460000003
10.02.2020 23:00:00.000 GMT+0100,1.09105,1.09248,1.08913,1.09143,97736.85199999998
11.02.2020 23:00:00.000 GMT+0100,1.09139,1.09255,1.08654,1.08728,230124.69729999997
12.02.2020 23:00:00.000 GMT+0100,1.08707,1.08887,1.08340,1.08408,357053.31399999995
13.02.2020 23:00:00.000 GMT+0100,1.08408,1.08611,1.08271,1.08299,121806.8393
16.02.2020 23:00:00.000 GMT+0100,1.08406,1.08509,1.08291,1.08345,74181.6304
17.02.2020 23:00:00.000 GMT+0100,1.08343,1.08373,1.07854,1.07907,132797.0125
18.02.2020 23:00:00.000 GMT+0100,1.07906,1.08115,1.07822,1.08022,106436.21579999998
19.02.2020 23:00:00.000 GMT+0100,1.08022,1.08211,1.07778,1.07838,142802.44139999998
20.02.2020 23:00:00.000 GMT+0100,1.07843,1.08635,1.07843,1.08456,200502.85050000003
23.02.2020 23:00:00.000 GMT+0100,1.08145,1.08720,1.08050,1.08519,176178.7313
24.02.2020 23:00:00.000 GMT+0100,1.08519,1.08902,1.08300,1.08806,186037.3408
25.02.2020 23:00:00.000 GMT+0100,1.08806,1.09086,1.08549,1.08813,188356.47880000004
26.02.2020 23:00:00.000 GMT+0100,1.08812,1.10064,1.08769,1.09998,214850.81129999997
27.02.2020 23:00:00.000 GMT+0100,1.09998,1.10530,1.09509,1.10251,252671.58679999996
01.03.2020 23:00:00.000 GMT+0100,1.10423,1.11845,1.10362,1.11331,249291.95090000003
02.03.2020 23:00:00.000 GMT+0100,1.11327,1.12134,1.10953,1.11716,216215.8549
03.03.2020 23:00:00.000 GMT+0100,1.11715,1.11875,1.10955,1.11328,164485.68550000002
04.03.2020 23:00:00.000 GMT+0100,1.11328,1.12447,1.11195,1.12361,193127.7874
05.03.2020 23:00:00.000 GMT+0100,1.12361,1.13546,1.12112,1.12804,241330.9778
08.03.2020 22:00:00.000 GMT+0100,1.13473,1.14954,1.13350,1.14390,298459.76610000007
09.03.2020 22:00:00.000 GMT+0100,1.14285,1.14578,1.12749,1.12794,266412.13450000004
10.03.2020 22:00:00.000 GMT+0100,1.12802,1.13667,1.12573,1.12682,198776.66350000002
11.03.2020 22:00:00.000 GMT+0100,1.12682,1.13336,1.10550,1.11848,260011.12740000003
12.03.2020 22:00:00.000 GMT+0100,1.11848,1.12213,1.10550,1.10992,239402.1083
15.03.2020 22:00:00.000 GMT+0100,1.10705,1.12366,1.10705,1.11820,297556.9459
16.03.2020 22:00:00.000 GMT+0100,1.11820,1.11891,1.09550,1.09971,277624.9358
17.03.2020 22:00:00.000 GMT+0100,1.09971,1.10451,1.08016,1.09120,320029.4897
18.03.2020 22:00:00.000 GMT+0100,1.09120,1.09818,1.06550,1.06911,303104.1888
19.03.2020 22:00:00.000 GMT+0100,1.06913,1.08309,1.06375,1.06929,481684.75759999995
22.03.2020 22:00:00.000 GMT+0100,1.07011,1.08279,1.06357,1.07239,468719.90059999994
23.03.2020 22:00:00.000 GMT+0100,1.07233,1.08879,1.07204,1.07861,344016.5511
24.03.2020 22:00:00.000 GMT+0100,1.07861,1.08938,1.07599,1.08812,297512.1825
