Local time,Open,High,Low,Close,Volume
28.12.2023 23:00:00.000 GMT+0100,1.10595,1.10842,1.10339,1.10374,302025.1518
29.12.2023 23:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
30.12.2023 23:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
31.12.2023 23:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 23:00:00.000 GMT+0100,1.10427,1.10447,1.09383,1.09396,275504.4804
02.01.2024 23:00:00.000 GMT+0100,1.09396,1.09654,1.08929,1.09206,325839.789
03.01.2024 23:00:00.000 GMT+0100,1.09206,1.09721,1.09160,1.09441,281583.74919999996
04.01.2024 23:00:00.000 GMT+0100,1.09441,1.09984,1.08767,1.09392,364017.8126
05.01.2024 23:00:00.000 GMT+0100,1.09392,1.09392,1.09392,1.09392,0
06.01.2024 23:00:00.000 GMT+0100,1.09392,1.09392,1.09392,1.09392,0
07.01.2024 23:00:00.000 GMT+0100,1.09386,1.09788,1.09226,1.09495,252835.69900000002
08.01.2024 23:00:00.000 GMT+0100,1.09495,1.09663,1.09103,1.09307,272008.3211
09.01.2024 23:00:00.000 GMT+0100,1.09307,1.09729,1.09228,1.09722,256562.96159999998
10.01.2024 23:00:00.000 GMT+0100,1.09722,1.10000,1.09302,1.09717,423350.816
11.01.2024 23:00:00.000 GMT+0100,1.09715,1.09868,1.09359,1.09483,314253.9865
12.01.2024 23:00:00.000 GMT+0100,1.09483,1.09483,1.09483,1.09483,0
13.01.2024 23:00:00.000 GMT+0100,1.09483,1.09483,1.09483,1.09483,0
14.01.2024 23:00:00.000 GMT+0100,1.09480,1.09675,1.09335,1.09494,188341.89890000003
15.01.2024 23:00:00.000 GMT+0100,1.09494,1.09510,1.08620,1.08745,408474.33979999996
16.01.2024 23:00:00.000 GMT+0100,1.08744,1.08844,1.08445,1.08818,337014.47130000003
17.01.2024 23:00:00.000 GMT+0100,1.08816,1.09067,1.08466,1.08757,370673.28700000007
18.01.2024 23:00:00.000 GMT+0100,1.08757,1.08983,1.08656,1.08960,264191.0708
19.01.2024 23:00:00.000 GMT+0100,1.08960,1.08960,1.08960,1.08960,0
20.01.2024 23:00:00.000 GMT+0100,1.08960,1.08960,1.08960,1.08960,0
21.01.2024 23:00:00.000 GMT+0100,1.08906,1.09094,1.08800,1.08819,226375.8797
22.01.2024 23:00:00.000 GMT+0100,1.08816,1.09162,1.08215,1.08530,282335.64249999996
23.01.2024 23:00:00.000 GMT+0100,1.08529,1.09323,1.08446,1.08844,359888.7811
24.01.2024 23:00:00.000 GMT+0100,1.08843,1.09018,1.08216,1.08460,364646.1228
25.01.2024 23:00:00.000 GMT+0100,1.08449,1.08854,1.08128,1.08504,294033.18940000003
26.01.2024 23:00:00.000 GMT+0100,1.08504,1.08504,1.08504,1.08504,0
27.01.2024 23:00:00.000 GMT+0100,1.08504,1.08504,1.08504,1.08504,0
28.01.2024 23:00:00.000 GMT+0100,1.08468,1.08500,1.07958,1.08323,225301.8071
29.01.2024 23:00:00.000 GMT+0100,1.08307,1.08573,1.08119,1.08447,288135.01949999994
30.01.2024 23:00:00.000 GMT+0100,1.08446,1.08874,1.07949,1.08180,447179.7806
31.01.2024 23:00:00.000 GMT+0100,1.08180,1.08748,1.07799,1.08712,416652.53119999997
01.02.2024 23:00:00.000 GMT+0100,1.08712,1.08974,1.07804,1.07849,351299.3129
02.02.2024 23:00:00.000 GMT+0100,1.07849,1.07849,1.07849,1.07849,0
03.02.2024 23:00:00.000 GMT+0100,1.07849,1.07849,1.07849,1.07849,0
04.02.2024 23:00:00.000 GMT+0100,1.07854,1.07861,1.07231,1.07418,276607.94460000005
05.02.2024 23:00:00.000 GMT+0100,1.07418,1.07623,1.07225,1.07540,275336.9976
06.02.2024 23:00:00.000 GMT+0100,1.07539,1.07838,1.07492,1.07704,294281.46210000006
07.02.2024 23:00:00.000 GMT+0100,1.07704,1.07889,1.07416,1.07769,258271.42800000004
08.02.2024 23:00:00.000 GMT+0100,1.07767,1.07951,1.07621,1.07821,266707.35219999996
09.02.2024 23:00:00.000 GMT+0100,1.07821,1.07821,1.07821,1.07821,0
10.02.2024 23:00:00.000 GMT+0100,1.07821,1.07821,1.07821,1.07821,0
11.02.2024 23:00:00.000 GMT+0100,1.07767,1.08055,1.07559,1.07706,203527.8109
12.02.2024 23:00:00.000 GMT+0100,1.07702,1.07985,1.07005,1.07079,295153.27770000004
13.02.2024 23:00:00.000 GMT+0100,1.07080,1.07344,1.06949,1.07250,256077.88969999997
14.02.2024 23:00:00.000 GMT+0100,1.07250,1.07847,1.07246,1.07718,303252.00000000006
15.02.2024 23:00:00.000 GMT+0100,1.07718,1.07874,1.07319,1.07749,265062.91770000005
16.02.2024 23:00:00.000 GMT+0100,1.07749,1.07749,1.07749,1.07749,0
17.02.2024 23:00:00.000 GMT+0100,1.07749,1.07749,1.07749,1.07749,0
18.02.2024 23:00:00.000 GMT+0100,1.07718,1.07894,1.07621,1.07785,125898.36020000001
19.02.2024 23:00:00.000 GMT+0100,1.07770,1.08387,1.07615,1.08072,277626.5298
20.02.2024 23:00:00.000 GMT+0100,1.08071,1.08243,1.07899,1.08181,242877.87199999997
21.02.2024 23:00:00.000 GMT+0100,1.08182,1.08882,1.08026,1.08222,238746.78930000003
22.02.2024 23:00:00.000 GMT+0100,1.08221,1.08395,1.08117,1.08174,180521.9699
23.02.2024 23:00:00.000 GMT+0100,1.08174,1.08174,1.08174,1.08174,0
24.02.2024 23:00:00.000 GMT+0100,1.08174,1.08174,1.08174,1.08174,0
25.02.2024 23:00:00.000 GMT+0100,1.08318,1.08597,1.08126,1.08504,154522.0099
26.02.2024 23:00:00.000 GMT+0100,1.08504,1.08659,1.08330,1.08437,133720.87039999999
27.02.2024 23:00:00.000 GMT+0100,1.08437,1.08465,1.07966,1.08375,186249.6702
28.02.2024 23:00:00.000 GMT+0100,1.08376,1.08558,1.07958,1.08046,249925.20859999998
29.02.2024 23:00:00.000 GMT+0100,1.08046,1.08432,1.07981,1.08368,217534.53809999998
01.03.2024 23:00:00.000 GMT+0100,1.08368,1.08368,1.08368,1.08368,0
02.03.2024 23:00:00.000 GMT+0100,1.08368,1.08368,1.08368,1.08368,0
03.03.2024 23:00:00.000 GMT+0100,1.08359,1.08667,1.08350,1.08549,146366.8109
04.03.2024 23:00:00.000 GMT+0100,1.08549,1.08760,1.08403,1.08560,168052.3997
05.03.2024 23:00:00.000 GMT+0100,1.08560,1.09153,1.08421,1.08980,194031.7865
06.03.2024 23:00:00.000 GMT+0100,1.08980,1.09491,1.08678,1.09477,203033.80150000003
07.03.2024 23:00:00.000 GMT+0100,1.09472,1.09812,1.09183,1.09348,226956.2584
08.03.2024 23:00:00.000 GMT+0100,1.09348,1.09348,1.09348,1.09348,0
09.03.2024 23:00:00.000 GMT+0100,1.09348,1.09348,1.09348,1.09348,0
10.03.2024 22:00:00.000 GMT+0100,1.09411,1.09480,1.09145,1.09250,176560.65010000003
11.03.2024 22:00:00.000 GMT+0100,1.09252,1.09438,1.09023,1.09257,258836.19679999995
12.03.2024 22:00:00.000 GMT+0100,1.09257,1.09638,1.09201,1.09471,234676.7515
13.03.2024 22:00:00.000 GMT+0100,1.09470,1.09547,1.08806,1.08825,241999.54770000005
14.03.2024 22:00:00.000 GMT+0100,1.08825,1.08996,1.08730,1.08869,202621.64110000004
15.03.2024 22:00:00.000 GMT+0100,1.08869,1.08869,1.08869,1.08869,0
16.03.2024 22:00:00.000 GMT+0100,1.08869,1.08869,1.08869,1.08869,0
17.03.2024 22:00:00.000 GMT+0100,1.08905,1.09061,1.08661,1.08719,146465.4816
18.03.2024 22:00:00.000 GMT+0100,1.08718,1.08765,1.08347,1.08651,180421.95979999998
19.03.2024 22:00:00.000 GMT+0100,1.08648,1.09228,1.08364,1.09214,219816.54909999997
20.03.2024 22:00:00.000 GMT+0100,1.09214,1.09426,1.08554,1.08594,194661.8104
21.03.2024 22:00:00.000 GMT+0100,1.08593,1.08679,1.08017,1.08065,190881.64130000002
22.03.2024 22:00:00.000 GMT+0100,1.08065,1.08065,1.08065,1.08065,0
23.03.2024 22:00:00.000 GMT+0100,1.08065,1.08065,1.08065,1.08065,0
24.03.2024 22:00:00.000 GMT+0100,1.08068,1.08424,1.08021,1.08370,129379.42
25.03.2024 22:00:00.000 GMT+0100,1.08369,1.08643,1.08242,1.08308,158172.32049999997
26.03.2024 22:00:00.000 GMT+0100,1.08304,1.08390,1.08108,1.08271,142478.3698
27.03.2024 22:00:00.000 GMT+0100,1.08271,1.08274,1.07751,1.07883,176456.0601
28.03.2024 22:00:00.000 GMT+0100,1.07897,1.08051,1.07678,1.07898,199972.3417
29.03.2024 22:00:00.000 GMT+0100,1.07898,1.07898,1.07898,1.07898,0
30.03.2024 22:00:00.000 GMT+0100,1.07898,1.07898,1.07898,1.07898,0
31.03.2024 23:00:00.000 GMT+0200,1.07882,1.07987,1.07309,1.07430,128586.1545
01.04.2024 23:00:00.000 GMT+0200,1.07428,1.07790,1.07246,1.07691,190505.31029999998
02.04.2024 23:00:00.000 GMT+0200,1.07691,1.08368,1.07640,1.08356,196557.01260000005
03.04.2024 23:00:00.000 GMT+0200,1.08356,1.08765,1.08312,1.08367,195826.30760000003
04.04.2024 23:00:00.000 GMT+0200,1.08361,1.08479,1.07913,1.08352,247445.88050000003
05.04.2024 23:00:00.000 GMT+0200,1.08352,1.08352,1.08352,1.08352,0
06.04.2024 23:00:00.000 GMT+0200,1.08352,1.08352,1.08352,1.08352,0
07.04.2024 23:00:00.000 GMT+0200,1.08347,1.08621,1.08208,1.08587,168742.35920000004
08.04.2024 23:00:00.000 GMT+0200,1.08587,1.08850,1.08477,1.08569,167601.87
09.04.2024 23:00:00.000 GMT+0200,1.08562,1.08665,1.07288,1.07421,267263.5598
10.04.2024 23:00:00.000 GMT+0200,1.07421,1.07564,1.06992,1.07254,240390.05859999996
11.04.2024 23:00:00.000 GMT+0200,1.07252,1.07293,1.06226,1.06385,203657.03640000004
12.04.2024 23:00:00.000 GMT+0200,1.06385,1.06385,1.06385,1.06385,0
13.04.2024 23:00:00.000 GMT+0200,1.06385,1.06385,1.06385,1.06385,0
14.04.2024 23:00:00.000 GMT+0200,1.06352,1.06651,1.06202,1.06241,231450.00879999998
15.04.2024 23:00:00.000 GMT+0200,1.06233,1.06535,1.06010,1.06187,280995.4687
16.04.2024 23:00:00.000 GMT+0200,1.06187,1.06796,1.06060,1.06720,193039.6705
17.04.2024 23:00:00.000 GMT+0200,1.06719,1.06900,1.06413,1.06431,175850.46899999998
18.04.2024 23:00:00.000 GMT+0200,1.06423,1.06775,1.06104,1.06526,289818.2787
19.04.2024 23:00:00.000 GMT+0200,1.06526,1.06526,1.06526,1.06526,0
20.04.2024 23:00:00.000 GMT+0200,1.06526,1.06526,1.06526,1.06526,0
21.04.2024 23:00:00.000 GMT+0200,1.06495,1.06706,1.06239,1.06541,133653.16999999998
22.04.2024 23:00:00.000 GMT+0200,1.06541,1.07112,1.06385,1.07002,181586.95970000004
23.04.2024 23:00:00.000 GMT+0200,1.07004,1.07142,1.06779,1.06985,148491.1797
24.04.2024 23:00:00.000 GMT+0200,1.06985,1.07402,1.06783,1.07291,187295.7009
25.04.2024 23:00:00.000 GMT+0200,1.07291,1.07527,1.06738,1.06911,181408.68109999996
26.04.2024 23:00:00.000 GMT+0200,1.06911,1.06911,1.06911,1.06911,0
27.04.2024 23:00:00.000 GMT+0200,1.06911,1.06911,1.06911,1.06911,0
28.04.2024 23:00:00.000 GMT+0200,1.06898,1.07337,1.06898,1.07205,235272.58159999992
29.04.2024 23:00:00.000 GMT+0200,1.07202,1.07353,1.06647,1.06653,208090.8
30.04.2024 23:00:00.000 GMT+0200,1.06643,1.07326,1.06494,1.07119,216534.3412
01.05.2024 23:00:00.000 GMT+0200,1.07104,1.07302,1.06742,1.07243,216321.49979999996
02.05.2024 23:00:00.000 GMT+0200,1.07244,1.08124,1.07227,1.07594,239551.4929
03.05.2024 23:00:00.000 GMT+0200,1.07594,1.07594,1.07594,1.07594,0
04.05.2024 23:00:00.000 GMT+0200,1.07594,1.07594,1.07594,1.07594,0
05.05.2024 23:00:00.000 GMT+0200,1.07600,1.07907,1.07553,1.07672,124871.7403
06.05.2024 23:00:00.000 GMT+0200,1.07667,1.07873,1.07478,1.07547,142388.7001
07.05.2024 23:00:00.000 GMT+0200,1.07538,1.07574,1.07350,1.07479,128711.1389
08.05.2024 23:00:00.000 GMT+0200,1.07477,1.07844,1.07239,1.07820,151910.19179999997
09.05.2024 23:00:00.000 GMT+0200,1.07820,1.07900,1.07603,1.07694,126560.31110000002
10.05.2024 23:00:00.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,0
11.05.2024 23:00:00.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,0
12.05.2024 23:00:00.000 GMT+0200,1.07721,1.08068,1.07658,1.07888,116520.80090000002
13.05.2024 23:00:00.000 GMT+0200,1.07897,1.08256,1.07669,1.08176,122651.24949999999
14.05.2024 23:00:00.000 GMT+0200,1.08175,1.08860,1.08130,1.08843,156975.51880000002
15.05.2024 23:00:00.000 GMT+0200,1.08842,1.08949,1.08544,1.08665,142283.21939999997
16.05.2024 23:00:00.000 GMT+0200,1.08665,1.08784,1.08356,1.08674,113571.76890000001
17.05.2024 23:00:00.000 GMT+0200,1.08674,1.08674,1.08674,1.08674,0
18.05.2024 23:00:00.000 GMT+0200,1.08674,1.08674,1.08674,1.08674,0
19.05.2024 23:00:00.000 GMT+0200,1.08664,1.08844,1.08540,1.08565,110928.5309
20.05.2024 23:00:00.000 GMT+0200,1.08562,1.08747,1.08425,1.08535,155301.43889999998
21.05.2024 23:00:00.000 GMT+0200,1.08531,1.08633,1.08174,1.08224,162598.01929999996
22.05.2024 23:00:00.000 GMT+0200,1.08221,1.08610,1.08048,1.08146,180682.3888
23.05.2024 23:00:00.000 GMT+0200,1.08145,1.08578,1.08054,1.08460,122332.6008
24.05.2024 23:00:00.000 GMT+0200,1.08460,1.08460,1.08460,1.08460,0
25.05.2024 23:00:00.000 GMT+0200,1.08460,1.08460,1.08460,1.08460,0
26.05.2024 23:00:00.000 GMT+0200,1.08450,1.08674,1.08405,1.08571,83913.19009999998
27.05.2024 23:00:00.000 GMT+0200,1.08571,1.08890,1.08521,1.08563,162346.8504
28.05.2024 23:00:00.000 GMT+0200,1.08562,1.08604,1.07999,1.08011,168653.7509
29.05.2024 23:00:00.000 GMT+0200,1.08007,1.08451,1.07883,1.08316,182951.33990000005
30.05.2024 23:00:00.000 GMT+0200,1.08316,1.08822,1.08112,1.08450,187378.13170000003
31.05.2024 23:00:00.000 GMT+0200,1.08450,1.08450,1.08450,1.08450,0
01.06.2024 23:00:00.000 GMT+0200,1.08450,1.08450,1.08450,1.08450,0
02.06.2024 23:00:00.000 GMT+0200,1.08462,1.09045,1.08278,1.09039,173037.59100000004
03.06.2024 23:00:00.000 GMT+0200,1.09039,1.09160,1.08590,1.08789,185910.74139999997
04.06.2024 23:00:00.000 GMT+0200,1.08785,1.08915,1.08544,1.08682,154210.71059999996
05.06.2024 23:00:00.000 GMT+0200,1.08681,1.09020,1.08619,1.08878,154429.58060000002
06.06.2024 23:00:00.000 GMT+0200,1.08873,1.09018,1.07993,1.08017,229113.94239999997
07.06.2024 23:00:00.000 GMT+0200,1.08017,1.08017,1.08017,1.08017,0
08.06.2024 23:00:00.000 GMT+0200,1.08017,1.08017,1.08017,1.08017,0
09.06.2024 23:00:00.000 GMT+0200,1.07783,1.07814,1.07327,1.07648,167044.95070000002
10.06.2024 23:00:00.000 GMT+0200,1.07642,1.07734,1.07194,1.07403,178959.2806
11.06.2024 23:00:00.000 GMT+0200,1.07404,1.08521,1.07346,1.08087,296848.21919999993
12.06.2024 23:00:00.000 GMT+0200,1.08076,1.08163,1.07328,1.07368,211321.51049999997
13.06.2024 23:00:00.000 GMT+0200,1.07361,1.07449,1.06676,1.07025,245934.87009999997
14.06.2024 23:00:00.000 GMT+0200,1.07025,1.07025,1.07025,1.07025,0
15.06.2024 23:00:00.000 GMT+0200,1.07025,1.07025,1.07025,1.07025,0
16.06.2024 23:00:00.000 GMT+0200,1.07028,1.07378,1.06863,1.07339,186912.80160000004
17.06.2024 23:00:00.000 GMT+0200,1.07336,1.07615,1.07099,1.07397,163263.538
18.06.2024 23:00:00.000 GMT+0200,1.07397,1.07533,1.07248,1.07422,96033.00020000001
19.06.2024 23:00:00.000 GMT+0200,1.07422,1.07487,1.07016,1.07016,171930.5704
20.06.2024 23:00:00.000 GMT+0200,1.07014,1.07205,1.06710,1.06918,194767.60980000003
21.06.2024 23:00:00.000 GMT+0200,1.06918,1.06918,1.06918,1.06918,0
22.06.2024 23:00:00.000 GMT+0200,1.06918,1.06918,1.06918,1.06918,0
23.06.2024 23:00:00.000 GMT+0200,1.06849,1.07463,1.06837,1.07319,136518.90110000002
24.06.2024 23:00:00.000 GMT+0200,1.07316,1.07441,1.06906,1.07139,141692.02980000002
25.06.2024 23:00:00.000 GMT+0200,1.07136,1.07179,1.06660,1.06799,179590.19220000002
26.06.2024 23:00:00.000 GMT+0200,1.06798,1.07264,1.06770,1.07031,190793.08020000003
27.06.2024 23:00:00.000 GMT+0200,1.07031,1.07246,1.06852,1.07119,229181.89780000004
28.06.2024 23:00:00.000 GMT+0200,1.07119,1.07119,1.07119,1.07119,0
29.06.2024 23:00:00.000 GMT+0200,1.07119,1.07119,1.07119,1.07119,0
30.06.2024 23:00:00.000 GMT+0200,1.07438,1.07763,1.07197,1.07402,220000.12179999996
01.07.2024 23:00:00.000 GMT+0200,1.07393,1.07471,1.07100,1.07446,185099.2897
02.07.2024 23:00:00.000 GMT+0200,1.07443,1.08168,1.07363,1.07868,185440.3088
03.07.2024 23:00:00.000 GMT+0200,1.07853,1.08138,1.07833,1.08101,92023.1891
04.07.2024 23:00:00.000 GMT+0200,1.08101,1.08426,1.07993,1.08370,206646.60579999996
05.07.2024 23:00:00.000 GMT+0200,1.08370,1.08370,1.08370,1.08370,0
06.07.2024 23:00:00.000 GMT+0200,1.08370,1.08370,1.08370,1.08370,0
07.07.2024 23:00:00.000 GMT+0200,1.08014,1.08450,1.07998,1.08230,200834.80789999996
08.07.2024 23:00:00.000 GMT+0200,1.08240,1.08333,1.08054,1.08127,189792.9696
09.07.2024 23:00:00.000 GMT+0200,1.08125,1.08305,1.08108,1.08295,163373.89969999998
10.07.2024 23:00:00.000 GMT+0200,1.08292,1.08999,1.08254,1.08678,248767.95140000002
