Local time,Open,High,Low,Close,Volume
22.01.2024 23:00:00.000 GMT+0100,1.08839,1.09163,1.08218,1.08555,248090.4581
23.01.2024 23:00:00.000 GMT+0100,1.08555,1.09325,1.08517,1.08855,307975.34979999997
24.01.2024 23:00:00.000 GMT+0100,1.08855,1.09022,1.08218,1.08468,311137.75840000005
25.01.2024 23:00:00.000 GMT+0100,1.08468,1.08864,1.08130,1.08565,269185.9526
28.01.2024 23:00:00.000 GMT+0100,1.08469,1.08504,1.07960,1.08338,217776.50999999995
29.01.2024 23:00:00.000 GMT+0100,1.08358,1.08574,1.08121,1.08464,245394.44089999996
30.01.2024 23:00:00.000 GMT+0100,1.08464,1.08877,1.07951,1.08192,432768.42900000006
31.01.2024 23:00:00.000 GMT+0100,1.08197,1.08750,1.07800,1.08725,358916.17949999997
01.02.2024 23:00:00.000 GMT+0100,1.08728,1.08978,1.07807,1.07883,288378.34990000003
04.02.2024 23:00:00.000 GMT+0100,1.07881,1.07881,1.07234,1.07430,265248.0603
05.02.2024 23:00:00.000 GMT+0100,1.07433,1.07626,1.07228,1.07549,262768.7999
06.02.2024 23:00:00.000 GMT+0100,1.07555,1.07841,1.07535,1.07723,245948.21889999995
07.02.2024 23:00:00.000 GMT+0100,1.07720,1.07890,1.07417,1.07782,228023.9503
08.02.2024 23:00:00.000 GMT+0100,1.07782,1.07953,1.07623,1.07849,230056.26020000002
11.02.2024 23:00:00.000 GMT+0100,1.07848,1.08058,1.07560,1.07720,183824.9804
12.02.2024 23:00:00.000 GMT+0100,1.07720,1.07998,1.07006,1.07091,293401.168
13.02.2024 23:00:00.000 GMT+0100,1.07092,1.07346,1.06952,1.07277,238047.70889999997
14.02.2024 23:00:00.000 GMT+0100,1.07293,1.07850,1.07249,1.07726,237156.81199999998
15.02.2024 23:00:00.000 GMT+0100,1.07729,1.07876,1.07322,1.07769,236444.94059999994
18.02.2024 23:00:00.000 GMT+0100,1.07783,1.07896,1.07622,1.07798,129615.59999999999
19.02.2024 23:00:00.000 GMT+0100,1.07816,1.08391,1.07619,1.08085,237391.1006
20.02.2024 23:00:00.000 GMT+0100,1.08084,1.08246,1.07901,1.08195,216463.00129999997
21.02.2024 23:00:00.000 GMT+0100,1.08195,1.08885,1.08030,1.08237,241092.4106
