Local time,Open,High,Low,Close,Volume
25.04.2016 23:00:00.000 GMT+0200,1.12667,1.13397,1.12562,1.12954,257917.56910000002
26.04.2016 23:00:00.000 GMT+0200,1.12952,1.13610,1.12715,1.13209,268827.68080000003
27.04.2016 23:00:00.000 GMT+0200,1.13205,1.13679,1.12959,1.13514,297870.22980000003
28.04.2016 23:00:00.000 GMT+0200,1.13500,1.14592,1.13465,1.14503,282901.47030000004
01.05.2016 23:00:00.000 GMT+0200,1.14593,1.15360,1.14482,1.15336,220970.80069999996
02.05.2016 23:00:00.000 GMT+0200,1.15329,1.16162,1.14955,1.14956,266664.07039999997
03.05.2016 23:00:00.000 GMT+0200,1.14956,1.15294,1.14661,1.14851,276761.43720000004
04.05.2016 23:00:00.000 GMT+0200,1.14838,1.14938,1.13859,1.14048,226029.0006
05.05.2016 23:00:00.000 GMT+0200,1.14048,1.14802,1.13866,1.14021,242122.02130000002
08.05.2016 23:00:00.000 GMT+0200,1.13936,1.14199,1.13753,1.13832,211812.8803
09.05.2016 23:00:00.000 GMT+0200,1.13832,1.14098,1.13587,1.13715,209001.66970000003
10.05.2016 23:00:00.000 GMT+0200,1.13715,1.14466,1.13687,1.14257,181881.61200000002
11.05.2016 23:00:00.000 GMT+0200,1.14256,1.14291,1.13706,1.13762,196519.80789999996
12.05.2016 23:00:00.000 GMT+0200,1.13757,1.13796,1.12830,1.13097,248176.89889999997
15.05.2016 23:00:00.000 GMT+0200,1.13100,1.13422,1.13021,1.13191,177779.30100000004
16.05.2016 23:00:00.000 GMT+0200,1.13199,1.13487,1.13020,1.13124,188299.0184
17.05.2016 23:00:00.000 GMT+0200,1.13125,1.13162,1.12141,1.12159,233486.9392
18.05.2016 23:00:00.000 GMT+0200,1.12158,1.12299,1.11801,1.12024,236063.6397000001
19.05.2016 23:00:00.000 GMT+0200,1.12023,1.12375,1.11963,1.12222,171905.0985
22.05.2016 23:00:00.000 GMT+0200,1.12081,1.12428,1.11875,1.12196,179119.18030000004
23.05.2016 23:00:00.000 GMT+0200,1.12201,1.12271,1.11324,1.11405,213086.069
24.05.2016 23:00:00.000 GMT+0200,1.11404,1.11669,1.11289,1.11543,213094.368
25.05.2016 23:00:00.000 GMT+0200,1.11547,1.12168,1.11495,1.11935,214069.83299999998
26.05.2016 23:00:00.000 GMT+0200,1.11934,1.12007,1.11109,1.11116,186480.81000000003
29.05.2016 23:00:00.000 GMT+0200,1.11126,1.11447,1.10978,1.11365,121456.02930000001
30.05.2016 23:00:00.000 GMT+0200,1.11365,1.11734,1.11222,1.11316,215804.71069999997
31.05.2016 23:00:00.000 GMT+0200,1.11314,1.11939,1.11141,1.11878,221945.52940000006
01.06.2016 23:00:00.000 GMT+0200,1.11877,1.12199,1.11453,1.11504,211560.81120000003
02.06.2016 23:00:00.000 GMT+0200,1.11501,1.13736,1.11367,1.13658,239135.7287
05.06.2016 23:00:00.000 GMT+0200,1.13533,1.13926,1.13263,1.13534,230912.5818
06.06.2016 23:00:00.000 GMT+0200,1.13528,1.13804,1.13386,1.13567,181259.03050000005
07.06.2016 23:00:00.000 GMT+0200,1.13562,1.14086,1.13542,1.13942,180844.7809
08.06.2016 23:00:00.000 GMT+0200,1.13942,1.14155,1.13056,1.13147,204208.81020000004
09.06.2016 23:00:00.000 GMT+0200,1.13145,1.13214,1.12452,1.12498,205194.7813
12.06.2016 23:00:00.000 GMT+0200,1.12480,1.13028,1.12323,1.12901,204418.40930000003
13.06.2016 23:00:00.000 GMT+0200,1.12899,1.12985,1.11889,1.12068,199570.4099
14.06.2016 23:00:00.000 GMT+0200,1.12042,1.12975,1.11897,1.12588,202423.39030000003
15.06.2016 23:00:00.000 GMT+0200,1.12594,1.12949,1.11310,1.12237,262307.10079999996
16.06.2016 23:00:00.000 GMT+0200,1.12241,1.12962,1.12223,1.12732,215448.84070000006
19.06.2016 23:00:00.000 GMT+0200,1.13285,1.13824,1.13020,1.13103,243568.6797
20.06.2016 23:00:00.000 GMT+0200,1.13100,1.13495,1.12414,1.12420,221015.64840000003
21.06.2016 23:00:00.000 GMT+0200,1.12420,1.13377,1.12366,1.12960,223666.64039999997
22.06.2016 23:00:00.000 GMT+0200,1.12960,1.14213,1.12948,1.13798,242770.02959999998
23.06.2016 23:00:00.000 GMT+0200,1.13795,1.14278,1.09116,1.10913,375434.35440000007
